legal_id,section_id,part_label,title_short,language_code,source_id,legal_title_plain,legal_content_plain_en,legal_title_plain_ms,legal_title_plain_ne,legal_title_plain_bn,legal_title_plain_hi,legal_content_plain_en_ms,legal_content_plain_en_ne,legal_content_plain_en_bn,legal_content_plain_en_hi
33,4,,"minimum_wages rates and rate of wages paid to employee based only on piece rate, tonnage, etc. for the period from 1 February 2025 to 31 July 2025",EN,4,Current minimum_wage rates,"The minimum_wage from 1 August 2025 is RM1,700 per month, RM8.72 per hour, or daily rates of RM65.38 (6 days/week), RM78.46 (5 days/week), or RM98.08 (4 days/week).",Kadar minimum_wage semasa,हालको न्यूनतम_व्राइज दरहरू,বর্তমান ন্যূনতম_ ওয়েজের হার,वर्तमान न्यूनतम_वेज दरें,"Minimum_wage dari 1 Ogos 2025 adalah RM1,700 sebulan, RM8.72 per jam, atau kadar harian RM65.38 (6 hari/minggu), RM78.46 (5 hari/minggu), atau RM98.08 (4 hari/minggu).","1 अगस्त 2025 बाट न्यूनतम_, आरएम 1,700 प्रति घण्टा, RM8.7272 प्रति घण्टा, वा RM68.36 (days दिन / हप्ता) (days दिन / हप्ता) (days दिन / हप्ता)।","1 আগস্ট 2025 থেকে ন্যূনতম_জেজ প্রতি মাসে আরএম 1,700, প্রতি ঘন্টা আরএম 8.72, বা আরএম 65.38 (6 দিন/সপ্তাহ), আরএম 78.46 (5 দিন/সপ্তাহ), বা আরএম 98.08 (4 দিন/সপ্তাহ) এর দৈনিক হার।","1 अगस्त 2025 से न्यूनतम_वेज RM1,700 प्रति माह, RM8.72 प्रति घंटे, या RM65.38 (6 दिन/सप्ताह), RM78.46 (5 दिन/सप्ताह), या RM98.08 (4 दिन/सप्ताह) की दैनिक दरें है।"
34,5,,"minimum_wages rates and rate of wages paid to employee based only on piece rate, tonnage, etc. with effect from 1 August 2025",EN,4,Current minimum_wage rates,"The minimum_wage from 1 August 2025 is RM1,700 per month, RM8.72 per hour, or daily rates of RM65.38 (6 days/week), RM78.46 (5 days/week), or RM98.08 (4 days/week).",Kadar minimum_wage semasa,हालको न्यूनतम_व्राइज दरहरू,বর্তমান ন্যূনতম_ ওয়েজের হার,वर्तमान न्यूनतम_वेज दरें,"Minimum_wage dari 1 Ogos 2025 adalah RM1,700 sebulan, RM8.72 per jam, atau kadar harian RM65.38 (6 hari/minggu), RM78.46 (5 hari/minggu), atau RM98.08 (4 hari/minggu).","1 अगस्त 2025 बाट न्यूनतम_, आरएम 1,700 प्रति घण्टा, RM8.7272 प्रति घण्टा, वा RM68.36 (days दिन / हप्ता) (days दिन / हप्ता) (days दिन / हप्ता)।","1 আগস্ট 2025 থেকে ন্যূনতম_জেজ প্রতি মাসে আরএম 1,700, প্রতি ঘন্টা আরএম 8.72, বা আরএম 65.38 (6 দিন/সপ্তাহ), আরএম 78.46 (5 দিন/সপ্তাহ), বা আরএম 98.08 (4 দিন/সপ্তাহ) এর দৈনিক হার।","1 अगस्त 2025 से न्यूनतम_वेज RM1,700 प्रति माह, RM8.72 प्रति घंटे, या RM65.38 (6 दिन/सप्ताह), RM78.46 (5 दिन/सप्ताह), या RM98.08 (4 दिन/सप्ताह) की दैनिक दरें है।"
35,12,,Offences,EN,6,Employer passport retention prohibition,Your employer cannot legally keep your passport without proper authority.,Larangan pengekalan pasport majikan,रोजगारदाता पासपोर्ट रिटेसन निषेध,নিয়োগকর্তা পাসপোর্ট ধরে রাখা নিষেধাজ্ঞা,नियोक्ता पासपोर्ट प्रतिधारण निषेध,Majikan anda tidak boleh menyimpan pasport anda secara sah tanpa kuasa yang betul.,तपाईंको रोजगारदाता कानूनी रूपमा उचित अधिकार बिना तपाईंको पासपोर्ट राख्नुहोस्।,আপনার নিয়োগকর্তা যথাযথ কর্তৃপক্ষ ছাড়াই আইনত আপনার পাসপোর্ট রাখতে পারবেন না।,आपका नियोक्ता उचित अधिकार के बिना कानूनी रूप से अपना पासपोर्ट नहीं रख सकता है।
36,15,PART III,Employer to construct and maintain estate hospital,EN,5,Estate hospital construction requirement,Your employer may be required to build and maintain a hospital on or near the estate for medical treatment.,Keperluan Pembinaan Hospital Harta Tanah,अस्पताल निर्माण अस्पताल निर्माण आवश्यकता,এস্টেট হাসপাতাল নির্মাণের প্রয়োজনীয়তা,संपत्ति अस्पताल निर्माण की आवश्यकता,Majikan anda mungkin dikehendaki membina dan menyelenggara hospital di atau berhampiran dengan harta pusaka untuk rawatan perubatan.,तपाईंको रोजगारदातालाई चिकित्सा उपचारको लागि सम्पत्तीको लागि अस्पताल निर्माण र नजिकै राख्न आवश्यक पर्दछ।,আপনার নিয়োগকর্তাকে চিকিত্সা চিকিত্সার জন্য এস্টেটের কাছাকাছি বা তার কাছাকাছি একটি হাসপাতাল তৈরি এবং রক্ষণাবেক্ষণের প্রয়োজন হতে পারে।,आपके नियोक्ता को चिकित्सा उपचार के लिए संपत्ति पर या उसके पास अस्पताल बनाने और बनाए रखने की आवश्यकता हो सकती है।
37,22,PART III,Power of Medical Officer of Health to order immunization against infectious disease,EN,5,Employer-funded immunization requirement,Your employer may be required to build and maintain a hospital on or near the estate for medical treatment.,Keperluan imunisasi yang dibiayai oleh majikan,नियोक्ता - कोष गरिएको खोप आउटमेन्ट आवश्यकता,নিয়োগকর্তা অর্থায়িত টিকাদান প্রয়োজনীয়তা,नियोक्ता द्वारा वित्त पोषित टीकाकरण आवश्यकता,Majikan anda mungkin dikehendaki membina dan menyelenggara hospital di atau berhampiran dengan harta pusaka untuk rawatan perubatan.,तपाईंको रोजगारदातालाई चिकित्सा उपचारको लागि सम्पत्तीको लागि अस्पताल निर्माण र नजिकै राख्न आवश्यक पर्दछ।,আপনার নিয়োগকর্তাকে চিকিত্সা চিকিত্সার জন্য এস্টেটের কাছাকাছি বা তার কাছাকাছি একটি হাসপাতাল তৈরি এবং রক্ষণাবেক্ষণের প্রয়োজন হতে পারে।,आपके नियोक्ता को चिकित्सा उपचार के लिए संपत्ति पर या उसके पास अस्पताल बनाने और बनाए रखने की आवश्यकता हो सकती है।
38,24J,PART III,Duties and responsibilities in respect of safety and health,EN,5,Safety and health duties,"Your employer or accommodation provider who provides accommodation must: (a) provide separate accommodation for employees of opposite gender, (b) take necessary preventive measures to ensure employees' safety and well-being, (c) take fire safety measures according to relevant written laws, (d) ensure electrical wiring systems comply with safety requirements according to relevant written laws, (e) ensure employees receive necessary medical assistance, and (f) take preventive measures to contain infectious diseases as ordered by the Medical Officer of Health and provide immunization arrangements at employer's expense.",Tugas keselamatan dan kesihatan,सुरक्षा र स्वास्थ्य कर्तव्यहरू,সুরক্ষা এবং স্বাস্থ্য কর্তব্য,सुरक्षा और स्वास्थ्य कर्तव्य,"Pembekal majikan atau tempat penginapan anda yang menyediakan penginapan mesti: (a) Menyediakan penginapan yang berasingan bagi pekerja yang bertentangan dengan jantina, (b) mengambil langkah-langkah pencegahan yang diperlukan untuk memastikan keselamatan dan kesejahteraan pekerja, (c) mengambil langkah-langkah keselamatan kebakaran mengikut undang-undang bertulis yang berkaitan dengan undang-undang yang berkaitan. Pegawai Perubatan Kesihatan dan menyediakan pengaturan imunisasi pada perbelanjaan majikan.","तपाईंको रोजगारदाता वा आवास प्रदायक जसले आवास प्रदान गर्दछ: (क) उपकरणको सुरक्षा र हलवालाका कर्मचारीहरूको लागि छुट्टै आवासको लागि पूर्ण चिकित्सा आवश्यकताहरू लिन्छन्, (f) ले ग्राहकको अफिसरलाई आदेश दिन्छन्। स्वास्थ्यको र नियोक्ताको खर्चमा खोप प्रबन्धहरू प्रदान गर्दछ।","আপনার নিয়োগকর্তা বা আবাসন সরবরাহকারী যিনি আবাসন সরবরাহ করেন তাদের অবশ্যই অবশ্যই: (ক) বিপরীত লিঙ্গের কর্মীদের জন্য পৃথক আবাসন সরবরাহ করুন, (খ) কর্মীদের সুরক্ষা এবং সুস্থতা নিশ্চিত করার জন্য প্রয়োজনীয় প্রতিরোধমূলক ব্যবস্থা গ্রহণ করুন, (গ) প্রাসঙ্গিক লিখিত আইন অনুসারে আগুন সুরক্ষা ব্যবস্থা গ্রহণ করুন, (ঘ) প্রয়োজনীয় চিকিত্সা অনুসারে বৈদ্যুতিক তারের ব্যবস্থা গ্রহণ করুন, (e) প্রাসঙ্গিক আইনগুলি গ্রহণের ব্যবস্থাগুলি নিশ্চিত করুন, (e) কর্মচারীদের প্রয়োজনীয় চিকিত্সাগুলি নিশ্চিত করুন, (e) কর্মচারীদের প্রয়োজনীয় চিকিত্সাগুলি নিশ্চিত করুন, স্বাস্থ্যের অফিসার এবং নিয়োগকর্তার ব্যয়ে টিকা ব্যবস্থা সরবরাহ করুন।","आपका नियोक्ता या आवास प्रदाता जो आवास प्रदान करता है, उसे होना चाहिए: (ए) विपरीत लिंग के कर्मचारियों के लिए अलग-अलग आवास प्रदान करते हैं, (बी) कर्मचारियों की सुरक्षा और कल्याण सुनिश्चित करने के लिए आवश्यक निवारक उपाय करें, (ग) प्रासंगिक लिखित कानूनों के अनुसार अग्नि सुरक्षा उपाय करें, (डी) सुनिश्चित करें कि प्रासंगिक लिखित कानूनों के अनुसार सुरक्षा आवश्यकताओं का पालन करें। स्वास्थ्य और नियोक्ता के खर्च पर टीकाकरण व्यवस्था प्रदान करते हैं।"
39,24L,Part III,Appointment of person in charge of accommodation,EN,5,Person in charge appointment,"Your employer or accommodation provider must appoint at least one person in charge of accommodation who will be responsible for employees' safety and well-being and management of accommodations and amenities. This person must: (a) ensure employees comply with disciplinary rules, (b) visit and inspect accommodation at least twice a month and keep inspection records as determined by the Director General, and (c) ensure an employee is taken to a clinic or hospital if the employee complains of health issues or appears unwell, and keep records of complaints as determined by the Director General.",Orang yang bertanggungjawab,वर्ल्ड नियुक्ति मा व्यक्ति,দায়িত্বে নিযুক্ত ব্যক্তি,प्रभारी नियुक्ति व्यक्ति,"Majikan atau penyedia penginapan anda mesti melantik sekurang-kurangnya seorang yang bertanggungjawab ke atas penginapan yang akan bertanggungjawab untuk keselamatan dan kesejahteraan pekerja dan pengurusan penginapan dan kemudahan. Orang ini mesti: (a) Memastikan pekerja mematuhi peraturan disiplin, (b) melawat dan memeriksa penginapan sekurang -kurangnya dua kali sebulan dan menyimpan rekod pemeriksaan seperti yang ditentukan oleh Ketua Pengarah, dan (c) memastikan pekerja dibawa ke klinik atau hospital jika pekerja mengadu isu -isu kesihatan atau kelihatan tidak sihat, dan menyimpan rekod aduan seperti yang ditentukan oleh Ketua Pengarah.",तपाईंको रोजगारदाता वा आवास प्रदायकले कम्तिमा एक व्यक्तिलाई कम्तिमा एक व्यक्तिलाई नियुक्त गर्नुपर्दछ जसले कर्मचारीहरूको सुरक्षा र आवास र आदरणीय आवास र सुविधाहरूको लागि जिम्मेवार हुनेछ। यस व्यक्तिले अनुशासनिक नियमहरूको पालना गर्ने कामहरू सुनिश्चित गर्न र आवासको साथसाथै कर्मचारीहरू सुनिश्चित गरे र (c) निर्देशक जनरलद्वारा निर्धारित कर्मचारी वा निरीक्षणको अभिलेख राखिन्छन्।,"আপনার নিয়োগকর্তা বা আবাসন সরবরাহকারীকে অবশ্যই আবাসনের দায়িত্বে থাকা কমপক্ষে একজনকে নিয়োগ করতে হবে যারা কর্মচারীদের সুরক্ষা এবং মঙ্গল এবং আবাসন এবং সুযোগ-সুবিধার পরিচালনার জন্য দায়বদ্ধ থাকবেন। এই ব্যক্তিকে অবশ্যই অবশ্যই: (ক) কর্মচারীদের শৃঙ্খলাবদ্ধ বিধি মেনে চলার বিষয়টি নিশ্চিত করুন, (খ) মাসে কমপক্ষে দু'বার আবাসন পরিদর্শন ও পরিদর্শন করুন এবং মহাপরিচালকের দ্বারা নির্ধারিত হিসাবে পরিদর্শন রেকর্ডগুলি বজায় রাখুন এবং (গ) কর্মচারী যদি স্বাস্থ্য সংক্রান্ত সমস্যাগুলির অভিযোগ করেন বা অযৌক্তিক হিসাবে উপস্থিত হন তবে কোনও কর্মচারীকে কোনও ক্লিনিক বা হাসপাতালে নিয়ে যাওয়া হয়েছে তা নিশ্চিত করুন।","आपके नियोक्ता या आवास प्रदाता को आवास के प्रभारी कम से कम एक व्यक्ति को नियुक्त करना होगा जो कर्मचारियों की सुरक्षा और अच्छी तरह से रहने और आवास और सुविधाओं के प्रबंधन के लिए जिम्मेदार होगा। यह व्यक्ति चाहिए: (ए) कर्मचारियों को अनुशासनात्मक नियमों का अनुपालन सुनिश्चित करें, (बी) दौरा करें और महीने में कम से कम दो बार आवास का निरीक्षण करें और निरीक्षण रिकॉर्ड को महानिदेशक द्वारा निर्धारित किया जाए, और (ग) यह सुनिश्चित करें कि एक कर्मचारी को एक क्लिनिक या अस्पताल में ले जाया जाता है यदि कर्मचारी स्वास्थ्य के मुद्दों की शिकायत करता है या अस्वस्थ दिखाई देता है, और महानिदेशक द्वारा निर्धारित शिकायतों के रिकॉर्ड को रखता है।"
40,8,PART II,Building endangering health or safety,EN,5,Building safety inspections,"The Director General shall cause to be inspected: (a) by a Medical Officer of Health, any building, estate hospital, group estate hospital or clinic which appears likely to endanger health due to its design, site, size, sanitation, water quality or other conditions; and (b) by the District Engineer, any building, estate hospital, group estate hospital or clinic which appears likely to endanger safety due to its construction, state of repair or condition. After inspection, officials shall submit reports with recommendations on necessary measures. The Director General may then order employers to demolish and replace, alter or repair buildings or make good deficiencies within specified time and conditions, and may direct that no employee or dependants occupy such buildings pending compliance.",Pemeriksaan keselamatan bangunan,सुरक्षाको निरीक्षण निर्माण,বিল্ডিং সুরক্ষা পরিদর্শন,भवन सुरक्षा निरीक्षण,"Ketua Pengarah hendaklah menyebabkan diperiksa: (a) oleh seorang pegawai perubatan kesihatan, mana -mana bangunan, hospital harta tanah, hospital harta tanah atau klinik yang kelihatannya membahayakan kesihatan kerana reka bentuk, tapak, saiz, sanitasi, kualiti air atau keadaan lain; dan (b) oleh jurutera daerah, mana -mana bangunan, hospital harta tanah, hospital atau klinik harta tanah yang kelihatannya membahayakan keselamatan kerana pembinaannya, keadaan pembaikan atau keadaan. Selepas pemeriksaan, pegawai hendaklah mengemukakan laporan dengan cadangan mengenai langkah -langkah yang diperlukan. Ketua Pengarah kemudiannya boleh memerintahkan majikan untuk merobohkan dan menggantikan, mengubah atau membaiki bangunan atau membuat kekurangan yang baik dalam masa dan keadaan tertentu, dan mungkin mengarahkan bahawa tidak ada pekerja atau tanggungan yang menduduki bangunan tersebut sementara menunggu pematuhan.","महासका सर्वसाधारणले निरीक्षण गर्ने निम्त्याए: (क) चिकित्सा अधिकारी, जफत अस्पताल, समूह एस्टेट अस्पताल सरसफाई, पानी गुणस्तर, पानी गुणस्तर वा अन्य अवस्थाको कारण। र (ख) जिल्ला इन्जिनियरि, कुनै भवन, हपेट अस्पताल, समूह एस्टेट अस्पताल वा क्लिनिक जुन यसको निर्माण कार्य, मर्मत वा सर्तको कारणले सुरक्षा सम्भव देखिन्छ। निरीक्षण पछि, अधिकारीहरूले आवश्यक उपायहरूमा सिफारिस गरेका प्रतिनिधिहरू पेश गर्नेछन्। महानिर्देशक निर्देशकलाई त्यसपछि रोजगारदाताहरूको आदेश दिन सक्छ, बदल्न, परिवर्तन वा मर्मत भवनहरू बदल्न वा निर्दिष्ट समय र नियमहरू भित्र राम्रो कमिहरू छन् जुन कुनै भवनहरू ओगटेको छ।","মহাপরিচালক পরিদর্শন করবেন: (ক) স্বাস্থ্যকর একজন মেডিকেল অফিসার, যে কোনও বিল্ডিং, এস্টেট হাসপাতাল, গ্রুপ এস্টেট হাসপাতাল বা ক্লিনিকের দ্বারা যা তার নকশা, সাইট, আকার, স্যানিটেশন, জলের গুণমান বা অন্যান্য শর্তের কারণে স্বাস্থ্যকে বিপন্ন করার সম্ভাবনা রয়েছে বলে মনে হয়; এবং (খ) জেলা প্রকৌশলী, যে কোনও বিল্ডিং, এস্টেট হাসপাতাল, গ্রুপ এস্টেট হাসপাতাল বা ক্লিনিকের দ্বারা যা নির্মাণ, মেরামত বা শর্তের কারণে সুরক্ষা বিপন্ন হতে পারে বলে মনে হয়। পরিদর্শন করার পরে, কর্মকর্তারা প্রয়োজনীয় ব্যবস্থাগুলির বিষয়ে সুপারিশ সহ প্রতিবেদন জমা দেবেন। মহাপরিচালক তখন নিয়োগকর্তাদের বিল্ডিংগুলি ধ্বংস এবং প্রতিস্থাপন, পরিবর্তন বা মেরামত করতে বা নির্দিষ্ট সময় এবং শর্তগুলির মধ্যে ভাল ঘাটতি তৈরি করার নির্দেশ দিতে পারেন এবং নির্দেশ দিতে পারেন যে কোনও কর্মচারী বা নির্ভরশীলরা এই জাতীয় বিল্ডিংগুলি মেনে চলার জন্য মেনে চলেন না।","महानिदेशक का निरीक्षण करने का कारण होगा: (ए) स्वास्थ्य के एक चिकित्सा अधिकारी, किसी भी भवन, संपत्ति अस्पताल, समूह संपत्ति अस्पताल या क्लिनिक द्वारा जो अपने डिजाइन, साइट, आकार, स्वच्छता, पानी की गुणवत्ता या अन्य स्थितियों के कारण स्वास्थ्य को खतरे में डालने की संभावना है; और (बी) जिला अभियंता, किसी भी भवन, एस्टेट अस्पताल, समूह एस्टेट अस्पताल या क्लिनिक द्वारा जो इसके निर्माण, मरम्मत या स्थिति की स्थिति के कारण सुरक्षा को खतरे में डालने की संभावना है। निरीक्षण के बाद, अधिकारी आवश्यक उपायों पर सिफारिशों के साथ रिपोर्ट प्रस्तुत करेंगे। तब महानिदेशक नियोक्ताओं को आदेश दे सकते हैं कि वे इमारतों को ध्वस्त करने और बदलने, बदलने या मरम्मत करने या निर्दिष्ट समय और शर्तों के भीतर अच्छी कमियां करने का आदेश दे सकते हैं, और यह निर्देश दे सकते हैं कि कोई भी कर्मचारी या आश्रित ऐसी इमारतों के अनुपालन पर कब्जा नहीं करता है।"
41,15,PART IV,General duties of employers,EN,8,General employer safety duties,"Your employer must ensure your safety, health and welfare at work by: providing safe equipment and work systems, ensuring safe handling of materials, giving you safety training and information, keeping the workplace safe with proper access routes, maintaining a safe working environment with adequate facilities, and having emergency procedures ready.",Tugas keselamatan majikan umum,सामान्य रोजगारदाता सुरक्षा कर्तव्यहरू,সাধারণ নিয়োগকর্তা সুরক্ষা দায়িত্ব,सामान्य नियोक्ता सुरक्षा कर्तव्य,"Majikan anda mesti memastikan keselamatan, kesihatan dan kebajikan anda di tempat kerja dengan: menyediakan peralatan yang selamat dan sistem kerja, memastikan pengendalian bahan yang selamat, memberikan anda latihan dan maklumat keselamatan, menjaga tempat kerja selamat dengan laluan akses yang betul, mengekalkan persekitaran kerja yang selamat dengan kemudahan yang mencukupi, dan menyediakan prosedur kecemasan.","तपाईंको रोजगारदाताले तपाईंको सुरक्षा, स्वास्थ्य र कल्याणलाई काममा सुनिश्चित गर्नुपर्दछ: तपाईंलाई सुरक्षा प्रशिक्षण र जानकारी प्रदान गर्दै, पर्याप्त पहुँच समिति प्रदान गर्दै, र आपतकालीन प्रक्रियाहरू प्रदान गर्दै।","আপনার নিয়োগকর্তাকে অবশ্যই আপনার সুরক্ষা, স্বাস্থ্য এবং কর্মক্ষেত্রে কল্যাণ নিশ্চিত করতে হবে: নিরাপদ সরঞ্জাম এবং কাজের ব্যবস্থা সরবরাহ করা, উপকরণগুলির নিরাপদ পরিচালনা নিশ্চিতকরণ, আপনাকে সুরক্ষা প্রশিক্ষণ এবং তথ্য দেওয়া, কর্মক্ষেত্রকে যথাযথ অ্যাক্সেস রুটের সাথে সুরক্ষিত রাখা, পর্যাপ্ত সুবিধা সহ একটি নিরাপদ কাজের পরিবেশ বজায় রাখা এবং জরুরি পদ্ধতি প্রস্তুত থাকা প্রস্তুত রয়েছে।","आपके नियोक्ता को काम पर आपकी सुरक्षा, स्वास्थ्य और कल्याण सुनिश्चित करना चाहिए: सुरक्षित उपकरण और कार्य प्रणाली प्रदान करना, सामग्री की सुरक्षित हैंडलिंग सुनिश्चित करना, आपको सुरक्षा प्रशिक्षण और जानकारी देना, कार्यस्थल को उचित पहुंच मार्गों के साथ सुरक्षित रखना, पर्याप्त सुविधाओं के साथ एक सुरक्षित कामकाजी वातावरण बनाए रखना और आपातकालीन प्रक्रियाओं को तैयार करना।"
42,24,PART VI,General duties of employees at work,EN,8,Employee safety duties,"While at work, you must: take care of your own safety and others who might be affected by your actions, cooperate with your employer on safety requirements, wear protective equipment provided by your employer, and follow safety instructions. Breaking these rules can result in fines up to RM2,000 or jail time up to 3 months.",Tugas keselamatan pekerja,कर्मचारी सुरक्षा कर्तव्यहरू,কর্মচারী সুরক্ষা দায়িত্ব,कर्मचारी सुरक्षा कर्तव्य,"Semasa di tempat kerja, anda mesti: Jaga keselamatan anda sendiri dan orang lain yang mungkin terjejas oleh tindakan anda, bekerjasama dengan majikan anda mengenai keperluan keselamatan, memakai peralatan perlindungan yang disediakan oleh majikan anda, dan ikuti arahan keselamatan. Memecahkan peraturan ini boleh menyebabkan denda sehingga RM2,000 atau masa penjara sehingga 3 bulan.","काममा हुँदा, तपाईं गर्नै पर्छ: तपाईंको आफ्नै सुरक्षा र अरूको ख्याल राख्नुहोस् जो तपाईंको कामबाट प्रभावित हुन सक्छ, सुरक्षात्मक उपकरणहरू तपाईंको रोजगारदाताले प्रदान गर्दछ, र सुरक्षा निर्देशनहरू पालना गर्दछ। यी नियमहरू तोड्नुहोस् RM2,000 वा जेल समयमा months महिनासम्म जरिवाना हुन सक्छ।","কর্মক্ষেত্রে, আপনাকে অবশ্যই অবশ্যই: আপনার নিজের সুরক্ষা এবং অন্যদের যারা আপনার ক্রিয়াকলাপ দ্বারা প্রভাবিত হতে পারে তাদের যত্ন নিতে হবে, আপনার নিয়োগকর্তাকে সুরক্ষার প্রয়োজনীয়তায় সহযোগিতা করুন, আপনার নিয়োগকর্তার দ্বারা সরবরাহিত সুরক্ষামূলক সরঞ্জাম পরিধান করুন এবং সুরক্ষা নির্দেশাবলী অনুসরণ করুন। এই নিয়মগুলি ভাঙার ফলে আরএম 2,000 বা জেল সময় 3 মাস পর্যন্ত জরিমানা হতে পারে।","काम के दौरान, आपको चाहिए: अपनी खुद की सुरक्षा और अन्य लोगों का ध्यान रखें जो आपके कार्यों से प्रभावित हो सकते हैं, अपने नियोक्ता के साथ सुरक्षा आवश्यकताओं पर सहयोग कर सकते हैं, अपने नियोक्ता द्वारा प्रदान किए गए सुरक्षात्मक उपकरण पहनते हैं, और सुरक्षा निर्देशों का पालन करते हैं। इन नियमों को तोड़ने से RM2,000 या जेल का समय 3 महीने तक का जुर्माना हो सकता है।"
43,16,PART IV,Duty of employer to formulate occupational safety and health policy,EN,8,Safety policy requirement,Your employer must prepare and regularly update a written safety and health policy statement and make sure all employees know about it and any changes to it.,Keperluan dasar keselamatan,सुरक्षा नीति आवश्यकता,সুরক্ষা নীতি প্রয়োজনীয়তা,सुरक्षा नीति आवश्यकता,Majikan anda mesti menyediakan dan kerap mengemas kini pernyataan dasar keselamatan dan kesihatan bertulis dan pastikan semua pekerja tahu mengenainya dan sebarang perubahan kepadanya.,तपाईंको रोजगारदाताले तयार गर्नै पर्छ र नियमित रूपमा लिखित सुरक्षा र स्वास्थ्य नीतिगत बयान अपडेट गर्नुपर्दछ र निश्चित गर्नुहोस् कि सबै कर्मचारीहरूलाई यसको बारेमा थाहा छ र यसमा कुनै परिवर्तनहरू छन् भन्ने कुरा सुनिश्चित गर्नुहोस्।,আপনার নিয়োগকর্তাকে অবশ্যই একটি লিখিত সুরক্ষা এবং স্বাস্থ্য নীতি বিবৃতি প্রস্তুত এবং নিয়মিত আপডেট করতে হবে এবং নিশ্চিত করতে হবে যে সমস্ত কর্মচারী এটি সম্পর্কে এবং এটিতে কোনও পরিবর্তন জানেন।,आपके नियोक्ता को एक लिखित सुरक्षा और स्वास्थ्य नीति कथन को तैयार करना और नियमित रूप से अपडेट करना होगा और सुनिश्चित करना होगा कि सभी कर्मचारी इसके बारे में जानते हैं और इसके किसी भी बदलाव को जानते हैं।
44,30,PART VII,Establishment of safety and health committee at place of work,EN,8,Safety committee requirement,"Your employer must set up a safety and health committee if there are 40 or more workers at the workplace, or if ordered by the Director General. The employer must work with this committee to develop and check safety measures. Not following this can result in fines up to RM100,000 or jail time up to 1 year.",Keperluan Jawatankuasa Keselamatan,सुरक्षा समिति आवश्यकता,সুরক্ষা কমিটির প্রয়োজনীয়তা,सुरक्षा समिति की आवश्यकता,"Majikan anda mesti menubuhkan Jawatankuasa Keselamatan dan Kesihatan jika terdapat 40 atau lebih pekerja di tempat kerja, atau jika diperintahkan oleh Ketua Pengarah. Majikan mesti bekerjasama dengan jawatankuasa ini untuk membangun dan memeriksa langkah -langkah keselamatan. Tidak mengikuti ini boleh menyebabkan denda sehingga RM100,000 atau masa penjara sehingga 1 tahun.","यदि कार्यस्थलमा 400 वा बढी कामदारहरू छन् भने तपाईंको रोजगारदाताले सुरक्षा र स्वास्थ्य समिति स्थापना गर्नुपर्नेछ भने, वा निर्देशक जनरल द्वारा आदेश दिए। सुरक्षाको उपाय विकास गर्न र कार्यको लागि रोजगारदाताले यस समितिसँग काम गर्नुपर्दछ। यस पछिको होईन RM100,000 वा जेल अवधि 1 बर्ष सम्म बढ्न सक्दछ।","কর্মক্ষেত্রে 40 বা ততোধিক কর্মী থাকলে বা মহাপরিচালক কর্তৃক যদি আদেশ দেওয়া হয় তবে আপনার নিয়োগকর্তাকে অবশ্যই একটি সুরক্ষা এবং স্বাস্থ্য কমিটি স্থাপন করতে হবে। সুরক্ষা ব্যবস্থাগুলি বিকাশ এবং পরীক্ষা করতে নিয়োগকর্তাকে অবশ্যই এই কমিটির সাথে কাজ করতে হবে। এটি অনুসরণ না করার ফলে আরএম 100,000 বা 1 বছর পর্যন্ত জেল সময় জরিমানা হতে পারে।","आपके नियोक्ता को एक सुरक्षा और स्वास्थ्य समिति की स्थापना करनी चाहिए यदि कार्यस्थल पर 40 या अधिक श्रमिक हैं, या यदि महानिदेशक द्वारा आदेश दिया गया है। नियोक्ता को सुरक्षा उपायों को विकसित करने और जांचने के लिए इस समिति के साथ काम करना चाहिए। इसका अनुसरण नहीं करने से RM100,000 या जेल का समय 1 वर्ष तक का जुर्माना हो सकता है।"
