org_name,service_type,org_email,org_descr_en,state_name,org_url,org_phone_no,org_address,operation_hour,org_en,tag,org_en_ms,org_en_ne,org_en_bn,org_en_hi,org_descr_en_bn,org_descr_en_ms,org_descr_en_hi,org_descr_en_ne,tag_ms,tag_ne,tag_bn,tag_hi,service_type_ms,service_type_ne,service_type_bn,service_type_hi
Jabatan Bantuan Guaman Wilayah Persekutuan Labuan,Legal Aid,norehan.hamid@jbg.gov.my,"Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.",Labuan Federal Territory,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+608-741 2242,"Tingkat 9(A), Blok 4, Menara Pejabat Ujana Kewangan, Jalan Merdeka, 87018 WILAYAH PERSEKUTUAN LABUAN",Monday-Thursday 08:00-13:00 and 14:00-16:00; Friday 08:00-11:30 and 14:00-16:00,Legal Aid Department Wilayah Persekutuan Labuan (Jabatan Bantuan Guaman Wilayah Persekutuan Labuan),"legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment",Jabatan Bantuan Guaman Wilayah Persekutuan Labuan,कानूनी सहायता विभाग विलायाह लगगुआन लाबान (जाब्पना बन्टुआन गुम्बान विलावीन लगाउन लाबान) (Jabatan Bantuan Guaman Wilayah Persekutuan Labuan),আইনী সহায়তা বিভাগ (Jabatan Bantuan Guaman Wilayah Persekutuan Labuan),कानूनी सहायता विभाग विलायह पर्सेकुटुआन लाबुआन (जाबातन बंटुआन गुआमन विलायह पर्सेकुटुआन लाबुआन) (Jabatan Bantuan Guaman Wilayah Persekutuan Labuan),জাতীয়তা নির্বিশেষে ফৌজদারি মামলায় শিশুদের জন্য আইনী সহায়তা এবং উদীয়মান পাবলিক প্রতিরক্ষা (প্রতি 2025 আইন আপডেট); জেবিজি অফিসগুলির মাধ্যমে পরামর্শ এবং রেফারেল।,"Bantuan Undang -Undang & Pertahanan Awam Muncul untuk Kanak -kanak dalam Kes Jenayah, tanpa mengira kewarganegaraan (setiap 2025 kemas kini undang -undang); Nasihat & Rujukan melalui Pejabat JBG.","आपराधिक मामलों में बच्चों के लिए कानूनी सहायता और उभरती हुई सार्वजनिक रक्षा, राष्ट्रीयता की परवाह किए बिना (प्रति 2025 कानून अपडेट); JBG कार्यालयों के माध्यम से सलाह और रेफरल।","कानूनी सहायता र आपराधिक मामिलाहरूमा बच्चाहरूको लागि जनरलनको लागि जनरल सुरक्षाको लागि, राष्ट्रियता बिना (प्रति 20225 कानून अद्यावधिकहरू); jbg कार्यालयहरू मार्फत सल्लाह र सन्दर्भहरू।","Bantuan undang -undang, kanak -kanak, di bawah 18 tahun, jenayah, tanpa mengira kewarganegaraan, pertahanan awam, pelantikan","कानूनी सहायता, बच्चाहरू, सन्तानहरू, 1 18 बर्ष भन्दा कम, राष्ट्रियता, सार्वजनिक डिफेन्डर, नियुक्ति","আইনী সহায়তা, 18 বছরের কম বয়সী শিশুরা, জাতীয়তা নির্বিশেষে অপরাধী, পাবলিক ডিফেন্ডার, অ্যাপয়েন্টমেন্ট","कानूनी सहायता, बच्चे, 18 वर्ष से कम, अपराधी, राष्ट्रीयता, सार्वजनिक रक्षक, नियुक्ति की परवाह किए बिना",Bantuan undang -undang,कानुनी सहायता,আইনী সহায়তা,वैध सहायता
Jabatan Bantuan Guaman Sarawak,Legal Aid,haffiza.jemali@jbg.gov.my,"Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.",Sarawak,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+608-225 8699,"Tingkat 6, Bangunan Sultan Iskandar, Jalan Simpang Tiga, 93300 KUCHING, SARAWAK",Monday-Friday 08:00-16:00,Legal Aid Department Sarawak (Jabatan Bantuan Guaman Sarawak),"legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment",Jabatan Bantuan Guaman Sarawak,कानूनी सहायता विभाग सारावल (जाब्तिना बन्टुआन गुआवक) (Jabatan Bantuan Guaman Sarawak),আইনী সহায়তা বিভাগ সারাওয়াক (জাবাতান বান্টুয়ান গুয়ামান সারাওয়াক) (Jabatan Bantuan Guaman Sarawak),कानूनी सहायता विभाग सारावाक (जबटन बंटुआन गुआमन सारावाक) (Jabatan Bantuan Guaman Sarawak),জাতীয়তা নির্বিশেষে ফৌজদারি মামলায় শিশুদের জন্য আইনী সহায়তা এবং উদীয়মান পাবলিক প্রতিরক্ষা (প্রতি 2025 আইন আপডেট); জেবিজি অফিসগুলির মাধ্যমে পরামর্শ এবং রেফারেল।,"Bantuan Undang -Undang & Pertahanan Awam Muncul untuk Kanak -kanak dalam Kes Jenayah, tanpa mengira kewarganegaraan (setiap 2025 kemas kini undang -undang); Nasihat & Rujukan melalui Pejabat JBG.","आपराधिक मामलों में बच्चों के लिए कानूनी सहायता और उभरती हुई सार्वजनिक रक्षा, राष्ट्रीयता की परवाह किए बिना (प्रति 2025 कानून अपडेट); JBG कार्यालयों के माध्यम से सलाह और रेफरल।","कानूनी सहायता र आपराधिक मामिलाहरूमा बच्चाहरूको लागि जनरलनको लागि जनरल सुरक्षाको लागि, राष्ट्रियता बिना (प्रति 20225 कानून अद्यावधिकहरू); jbg कार्यालयहरू मार्फत सल्लाह र सन्दर्भहरू।","Bantuan undang -undang, kanak -kanak, di bawah 18 tahun, jenayah, tanpa mengira kewarganegaraan, pertahanan awam, pelantikan","कानूनी सहायता, बच्चाहरू, सन्तानहरू, 1 18 बर्ष भन्दा कम, राष्ट्रियता, सार्वजनिक डिफेन्डर, नियुक्ति","আইনী সহায়তা, 18 বছরের কম বয়সী শিশুরা, জাতীয়তা নির্বিশেষে অপরাধী, পাবলিক ডিফেন্ডার, অ্যাপয়েন্টমেন্ট","कानूनी सहायता, बच्चे, 18 वर्ष से कम, अपराधी, राष्ट्रीयता, सार्वजनिक रक्षक, नियुक्ति की परवाह किए बिना",Bantuan undang -undang,कानुनी सहायता,আইনী সহায়তা,वैध सहायता
Jabatan Bantuan Guaman Miri,Legal Aid,hcling@jbg.gov.my,"Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.",Sarawak,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+608-542 3606,"Tingkat 13, Lot 97, Wisma Yulan, Jalan Brooke, Peti Surat 2300, 98008 MIRI, SARAWAK",Monday-Thursday 08:00-13:00 and 14:00-17:00; Friday 08:00-11:45 and 14:15-17:00,Legal Aid Department Miri (Jabatan Bantuan Guaman Miri),"legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment",Jabatan Bantuan Guaman Miri,कानूनी सहायता विभाग मिरिरी (जागातान बान्टुआन गुदार मिरिन) (Jabatan Bantuan Guaman Miri),আইনী সহায়তা বিভাগ মিরি (জাবাতান বান্টুয়ান গুয়ামান মিরি) (Jabatan Bantuan Guaman Miri),कानूनी सहायता विभाग मिरी (जबटन बंटुआन गुआमन मिरी) (Jabatan Bantuan Guaman Miri),জাতীয়তা নির্বিশেষে ফৌজদারি মামলায় শিশুদের জন্য আইনী সহায়তা এবং উদীয়মান পাবলিক প্রতিরক্ষা (প্রতি 2025 আইন আপডেট); জেবিজি অফিসগুলির মাধ্যমে পরামর্শ এবং রেফারেল।,"Bantuan Undang -Undang & Pertahanan Awam Muncul untuk Kanak -kanak dalam Kes Jenayah, tanpa mengira kewarganegaraan (setiap 2025 kemas kini undang -undang); Nasihat & Rujukan melalui Pejabat JBG.","आपराधिक मामलों में बच्चों के लिए कानूनी सहायता और उभरती हुई सार्वजनिक रक्षा, राष्ट्रीयता की परवाह किए बिना (प्रति 2025 कानून अपडेट); JBG कार्यालयों के माध्यम से सलाह और रेफरल।","कानूनी सहायता र आपराधिक मामिलाहरूमा बच्चाहरूको लागि जनरलनको लागि जनरल सुरक्षाको लागि, राष्ट्रियता बिना (प्रति 20225 कानून अद्यावधिकहरू); jbg कार्यालयहरू मार्फत सल्लाह र सन्दर्भहरू।","Bantuan undang -undang, kanak -kanak, di bawah 18 tahun, jenayah, tanpa mengira kewarganegaraan, pertahanan awam, pelantikan","कानूनी सहायता, बच्चाहरू, सन्तानहरू, 1 18 बर्ष भन्दा कम, राष्ट्रियता, सार्वजनिक डिफेन्डर, नियुक्ति","আইনী সহায়তা, 18 বছরের কম বয়সী শিশুরা, জাতীয়তা নির্বিশেষে অপরাধী, পাবলিক ডিফেন্ডার, অ্যাপয়েন্টমেন্ট","कानूनी सहायता, बच्चे, 18 वर्ष से कम, अपराधी, राष्ट्रीयता, सार्वजनिक रक्षक, नियुक्ति की परवाह किए बिना",Bantuan undang -undang,कानुनी सहायता,আইনী সহায়তা,वैध सहायता
Jabatan Bantuan Guaman Sibu,Legal Aid,norhayati.abu@jbg.gov.my,"Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.",Sarawak,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+608-434 3978,"Tingkat 10 (Section A), Wisma Vasty, Lot. No 445, Blok 5, No.15, Jalan Pulau, 96000 SIBU, SARAWAK","No information available, contact for more detail",Legal Aid Department Sibu (Jabatan Bantuan Guaman Sibu),"legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment",Jabatan Bantuan Guaman Sibu,कानूनी सहायता विभाग सिब्लु (जागातान बन्टुआन गुम्बान सिब्स) (Jabatan Bantuan Guaman Sibu),আইনী সহায়তা বিভাগ সিবু (জাবাতান বান্টুয়ান গুয়ামান সিবু) (Jabatan Bantuan Guaman Sibu),कानूनी सहायता विभाग SIBU (JABATAN BANTUAN GUAMAN SIBU) (Jabatan Bantuan Guaman Sibu),জাতীয়তা নির্বিশেষে ফৌজদারি মামলায় শিশুদের জন্য আইনী সহায়তা এবং উদীয়মান পাবলিক প্রতিরক্ষা (প্রতি 2025 আইন আপডেট); জেবিজি অফিসগুলির মাধ্যমে পরামর্শ এবং রেফারেল।,"Bantuan Undang -Undang & Pertahanan Awam Muncul untuk Kanak -kanak dalam Kes Jenayah, tanpa mengira kewarganegaraan (setiap 2025 kemas kini undang -undang); Nasihat & Rujukan melalui Pejabat JBG.","आपराधिक मामलों में बच्चों के लिए कानूनी सहायता और उभरती हुई सार्वजनिक रक्षा, राष्ट्रीयता की परवाह किए बिना (प्रति 2025 कानून अपडेट); JBG कार्यालयों के माध्यम से सलाह और रेफरल।","कानूनी सहायता र आपराधिक मामिलाहरूमा बच्चाहरूको लागि जनरलनको लागि जनरल सुरक्षाको लागि, राष्ट्रियता बिना (प्रति 20225 कानून अद्यावधिकहरू); jbg कार्यालयहरू मार्फत सल्लाह र सन्दर्भहरू।","Bantuan undang -undang, kanak -kanak, di bawah 18 tahun, jenayah, tanpa mengira kewarganegaraan, pertahanan awam, pelantikan","कानूनी सहायता, बच्चाहरू, सन्तानहरू, 1 18 बर्ष भन्दा कम, राष्ट्रियता, सार्वजनिक डिफेन्डर, नियुक्ति","আইনী সহায়তা, 18 বছরের কম বয়সী শিশুরা, জাতীয়তা নির্বিশেষে অপরাধী, পাবলিক ডিফেন্ডার, অ্যাপয়েন্টমেন্ট","कानूनी सहायता, बच्चे, 18 वर्ष से कम, अपराधी, राष्ट्रीयता, सार्वजनिक रक्षक, नियुक्ति की परवाह किए बिना",Bantuan undang -undang,कानुनी सहायता,আইনী সহায়তা,वैध सहायता
FWCMS One Stop Center (Putrajaya),Work,bestinetintls@gmail.com,"Nationwide coverage; Centralised online system for foreign worker recruitment & permits (quota, calling visa, permit renewal, exit memo). Worker-facing at FSSC: eComplaints for employer abuse; call centre for guidance.",Putrajaya Federal Territory,https://fwcms.com.my/,+603-8689 2822,"A2-1-1, 1st Floor, Kompleks Perniagaan Ayer@8, Jalan P8G, Presint 8, 62000 Putrajaya, Malaysia.",Monday-Friday 09:00-18:00,FWCMS One Stop Center (Putrajaya),"eVDR, ePLKS, eCOM, eComplaints, eWages, employer process, hotline, appointment",FWCMS One Stop Centre (Putrajaya),FWCMS एक स्टप केन्द्र (प्लेराजीया) (FWCMS One Stop Center (Putrajaya)),এফডাব্লুসিএমএস ওয়ান স্টপ সেন্টার (পুত্রজায়া) (FWCMS One Stop Center (Putrajaya)),FWCMS वन स्टॉप सेंटर (पुत्रजया) (FWCMS One Stop Center (Putrajaya)),"দেশব্যাপী কভারেজ; বিদেশী কর্মী নিয়োগ ও পারমিটের জন্য কেন্দ্রীয় অনলাইন সিস্টেম (কোটা, কলিং ভিসা, পারমিট পুনর্নবীকরণ, প্রস্থান মেমো)। এফএসএসসিতে কর্মী-মুখোমুখি হওয়া: নিয়োগকর্তার নির্যাতনের জন্য একচেটিয়া; গাইডেন্সের জন্য কল সেন্টার।","Liputan di seluruh negara; Sistem dalam talian berpusat untuk pengambilan & permit pekerja asing (kuota, panggilan visa, pembaharuan permit, memo keluar). Pekerja-pekerja di FSSC: Ecomplaints untuk penyalahgunaan majikan; Pusat Panggilan untuk Panduan.","राष्ट्रव्यापी कवरेज; विदेशी कार्यकर्ता भर्ती और परमिट के लिए केंद्रीकृत ऑनलाइन प्रणाली (कोटा, कॉलिंग वीजा, परमिट नवीकरण, निकास मेमो)। एफएसएससी में कार्यकर्ता-सामना: नियोक्ता के दुरुपयोग के लिए Ecomplaints; मार्गदर्शन के लिए कॉल सेंटर।","राष्ट्रव्यापी कभरेज; वैदेशिक कार्यकर्ता भर्ती र अनुमतिको लागि केन्द्रीकृत अनलाइन प्रणाली (कोटा, भिसा, नवीकरण, नवीकरण मेमो) निकास गर्नुहोस्। श्रमिक-अनुहार एफएसएससी मा अनुहार: रोजगार दुरुपयोग को लागी स्वर्ग; मार्गदर्शनका लागि कल सेन्टर।","EVDR, EPLKS, ECOM, ECOMPLAINTS, EWAGES, PROSES MEMBACA, HOTLINE, TEMPATAN","इभम, EPLKs, ECK, EMPLESTS, ewles, रोजगारदाता प्रक्रिया, हटलाइन, नियुक्ति","ইভিডিআর, ইপিএলএসএস, ইকোম, ইকামেন্টস, ইওজেজস, নিয়োগকর্তা প্রক্রিয়া, হটলাইন, অ্যাপয়েন্টমেন্ট","EVDR, EPLKS, ECOM, Ecomplaints, Ewages, नियोक्ता प्रक्रिया, हॉटलाइन, नियुक्ति",Bekerja,काम,কাজ,काम
North South Initiative (NSI),Legal Aid,resq@nsinitiative.net,"Policy advocacy & migrant rights education; cross-border collaboration to improve fair labour migration systems. Targeting Indonesian, Bangladeshi, Pakistani, Myanmar & Nepali workers in Malaysia.",Selangor,https://nsinitiative.net/,+603-7663 5466,"A-2-7, Jalan Sungai Jernih 8/1, Seksyen 8 Petaling Jaya, 46050 Petaling Jaya, Selangor",Monday-Friday 10:00-19:00; Saturday 10:00-17:00,North South Initiative (NSI),"NGO, advocacy, labour rights, migration policy, legal awareness, migrant communities IDN BGD PAK MMR NPL, free",Inisiatif Utara Selatan (NSI),उत्तर दक्षिण पहल (NSI) (North South Initiative (NSI)),উত্তর দক্ষিণ উদ্যোগ (এনএসআই) (North South Initiative (NSI)),उत्तर दक्षिण पहल (एनएसआई) (North South Initiative (NSI)),"নীতি অ্যাডভোকেসি এবং অভিবাসী অধিকার শিক্ষা; ন্যায্য শ্রম মাইগ্রেশন সিস্টেমগুলি উন্নত করতে আন্তঃসীমান্ত সহযোগিতা। মালয়েশিয়ার ইন্দোনেশিয়ান, বাংলাদেশী, পাকিস্তানি, মিয়ানমার ও নেপালি কর্মীদের লক্ষ্য করে।","Polisi Advokasi & Pendidikan Hak Migran; Kerjasama rentas sempadan untuk meningkatkan sistem penghijrahan buruh yang adil. Menyasarkan pekerja Indonesia, Bangladeshi, Pakistan, Myanmar & Nepal di Malaysia.","नीति वकालत और प्रवासी अधिकार शिक्षा; निष्पक्ष श्रम प्रवास प्रणालियों में सुधार के लिए सीमा पार सहयोग। मलेशिया में इंडोनेशियाई, बांग्लादेशी, पाकिस्तानी, म्यांमार और नेपाली श्रमिकों को लक्षित करना।","नीति वकालत र आप्रवासी अधिकार शिक्षा; निष्पक्ष श्रम प्रवासी प्रणाली सुधार गर्न सीमा विरोधी सहयोग। मलेशियामा मंगेरियाकी, पाकिस्तानी, म्याकिस्तानी, पाकिस्तानी र नेपाली कामदारहरूलाई लक्षित गर्ने।","NGO, Advokasi, Hak Buruh, Dasar Migrasi, Kesedaran Undang -Undang, Komuniti Migran IDN BGD Pak MMR NPL, Percuma","एनजीओ, वकालत, श्रम अधिकार, प्रवासी नीति, कानूनी जागरूकता, आप्रवासी समुदायहरु inn bgd pug pemr mpr mmr mmr mmr mmr mmr mmr mmr mmr mmr mpr, नि: शुल्क","এনজিও, অ্যাডভোকেসি, শ্রম অধিকার, মাইগ্রেশন নীতি, আইনী সচেতনতা, অভিবাসী সম্প্রদায় আইডিএন বিজিডি পাক এমএমআর এনপিএল, বিনামূল্যে","एनजीओ, वकालत, श्रम अधिकार, प्रवासन नीति, कानूनी जागरूकता, प्रवासी समुदाय आईडीएन बीजीडी पाक एमएमआर एनपीएल, मुक्त",Bantuan undang -undang,कानुनी सहायता,আইনী সহায়তা,वैध सहायता
North South Initiative (NSI),Housing & Shelter,resq@nsinitiative.net,"Emergency ""Solidarity House"" providing short-term stay for male migrant workers and refugees; referrals to partner shelters for women. Targeting Indonesian, Bangladeshi, Pakistani, Myanmar & Nepali communities.",Selangor,https://nsinitiative.net/,+603-7663 5467,"A-2-7, Jalan Sungai Jernih 8/1, Seksyen 8 Petaling Jaya, 46050 Petaling Jaya, Selangor",Monday-Friday 10:00-19:00; Saturday 10:00-17:00,North South Initiative (NSI),"NGO, emergency shelter, temporary housing, referrals, migrant communities IDN BGD PAK MMR NPL, free",Inisiatif Utara Selatan (NSI),उत्तर दक्षिण पहल (NSI) (North South Initiative (NSI)),উত্তর দক্ষিণ উদ্যোগ (এনএসআই) (North South Initiative (NSI)),उत्तर दक्षिण पहल (एनएसआई) (North South Initiative (NSI)),"জরুরী ""সংহতি হাউস"" পুরুষ অভিবাসী শ্রমিক এবং শরণার্থীদের জন্য স্বল্পমেয়াদী থাকার ব্যবস্থা; মহিলাদের জন্য অংশীদার আশ্রয়কেন্দ্রগুলিতে রেফারেল। ইন্দোনেশিয়ান, বাংলাদেশী, পাকিস্তানি, মিয়ানমার ও নেপালি সম্প্রদায়গুলিকে লক্ষ্য করে।","Kecemasan ""rumah perpaduan"" yang menyediakan penginapan jangka pendek untuk pekerja migran lelaki dan pelarian; Rujukan kepada tempat perlindungan rakan kongsi untuk wanita. Menyasarkan Indonesia, Bangladeshi, Pakistan, Myanmar & Nepal.","आपातकालीन ""एकजुटता घर"" पुरुष प्रवासी श्रमिकों और शरणार्थियों के लिए अल्पकालिक प्रवास प्रदान करता है; महिलाओं के लिए साझेदार आश्रयों के लिए रेफरल। इंडोनेशियाई, बांग्लादेशी, पाकिस्तानी, म्यांमार और नेपाली समुदायों को लक्षित करना।","आपतकालीन ""ऐतिहास घर"" पुरुष आप्रवासी कामदारहरू र शरणार्थीहरूको लागि छोटो अवधिको रूपमा रहन बाँकी छ; महिलाहरुलाई साझेदार आश्रयहरु लाई रेफरल गर्दछ। इन्डोनेसियाली, बंगलादेशी, पाकिस्तानी, म्याकलर र नेपाली समुदायलाई लक्षित गरी।","NGO, tempat perlindungan kecemasan, perumahan sementara, rujukan, komuniti pendatang IDN BGD PAK MMR NPL, Percuma","एनजीओ, आपतकालीन आश्रय, अस्थायी आवास, रेजिग्रेट समुदायहरू आईएनटीएन बीजीडी पाक एमएमआरआरआर एमएमआरआरआरएमआर एमएपीएल","এনজিও, জরুরী আশ্রয়, অস্থায়ী আবাসন, রেফারেলস, অভিবাসী সম্প্রদায় আইডিএন বিজিডি পাক এমএমআর এনপিএল, বিনামূল্যে","एनजीओ, आपातकालीन आश्रय, अस्थायी आवास, रेफरल, प्रवासी समुदाय आईडीएन बीजीडी पाक एमएमआर एनपीएल, मुक्त",Perumahan & tempat perlindungan,आवास र आश्रय,আবাসন ও আশ্রয়,आवास और आश्रय
Tzu Chi (Headquarters),Housing & Shelter,info@tzuchi.my,"Provides food aid, emergency relief, and temporary shelter for vulnerable communities including migrant workers and refugees. Nationwide presence with main centre in KL & Selangor.",Kuala Lumpur Federal Territory,https://www.tzuchi.my/en,+603-6256 3800,"KL Tzu-Chi Jing Si Hall, No 359, Jalan Kepong, 52000 Kuala Lumpur",Monday-Sunday 09:00-16:00,Tzu Chi (Headquarters),"NGO, food aid, emergency relief, shelter, free",Tzu Chi (ibu pejabat),TZU CHI (मुख्यालय) (Tzu Chi (Headquarters)),তজু চি (সদর দফতর) (Tzu Chi (Headquarters)),त्ज़ु ची (मुख्यालय) (Tzu Chi (Headquarters)),"অভিবাসী শ্রমিক এবং শরণার্থী সহ দুর্বল সম্প্রদায়ের জন্য খাদ্য সহায়তা, জরুরী ত্রাণ এবং অস্থায়ী আশ্রয় সরবরাহ করে। কেএল এবং সেলেঙ্গোরের প্রধান কেন্দ্রের সাথে দেশব্যাপী উপস্থিতি।","Menyediakan bantuan makanan, bantuan kecemasan, dan tempat perlindungan sementara untuk komuniti yang terdedah termasuk pekerja migran dan pelarian. Kehadiran di seluruh negara dengan pusat utama di KL & Selangor.","प्रवासी श्रमिकों और शरणार्थियों सहित कमजोर समुदायों के लिए खाद्य सहायता, आपातकालीन राहत और अस्थायी आश्रय प्रदान करता है। केएल और सेलांगोर में मुख्य केंद्र के साथ राष्ट्रव्यापी उपस्थिति।","खाद्य सहायता, आपतकालीन राहत, आप्रवासी कामदारहरू र शरणार्थीहरू लगायतका दुर्व्यवहार्यका लागि अस्थायी आश्रय। KL & Sealgor मा मुख्य केन्द्रको साथ राष्ट्रव्यापी उपस्थिति।","NGO, bantuan makanan, bantuan kecemasan, tempat tinggal, percuma","एनजीओ, खाद्य सहायता, आपतकालीन राहत, आश्रय, नि: शुल्क","এনজিও, খাদ্য সহায়তা, জরুরী ত্রাণ, আশ্রয়, বিনামূল্যে","एनजीओ, खाद्य सहायता, आपातकालीन राहत, आश्रय, मुक्त",Perumahan & tempat perlindungan,आवास र आश्रय,আবাসন ও আশ্রয়,आवास और आश्रय
Tzu Chi (Malacca Branch),Housing & Shelter,btzuchi@tzuchi.my,"Provides food aid, emergency relief, and temporary shelter for vulnerable communities including migrant workers and refugees. Nationwide presence with main centre in KL & Selangor.",Malacca,https://www.tzuchi.my/en,+606-281 0818,"7850, Lot 922-923, Kws Perindustrian, Batu Berendam Fasa 3(B), Batu Berendam, 75350 Malacca",Monday-Saturday 08:30-18:00,Tzu Chi (Malacca Branch),"NGO, food aid, emergency relief, shelter, free",Tzu Chi (cawangan Melaka),TZU CHI (मलाका शाखा) (Tzu Chi (Malacca Branch)),তজু চি (মালাক্কা শাখা) (Tzu Chi (Malacca Branch)),त्ज़ु ची (मलक्का शाखा) (Tzu Chi (Malacca Branch)),"অভিবাসী শ্রমিক এবং শরণার্থী সহ দুর্বল সম্প্রদায়ের জন্য খাদ্য সহায়তা, জরুরী ত্রাণ এবং অস্থায়ী আশ্রয় সরবরাহ করে। কেএল এবং সেলেঙ্গোরের প্রধান কেন্দ্রের সাথে দেশব্যাপী উপস্থিতি।","Menyediakan bantuan makanan, bantuan kecemasan, dan tempat perlindungan sementara untuk komuniti yang terdedah termasuk pekerja migran dan pelarian. Kehadiran di seluruh negara dengan pusat utama di KL & Selangor.","प्रवासी श्रमिकों और शरणार्थियों सहित कमजोर समुदायों के लिए खाद्य सहायता, आपातकालीन राहत और अस्थायी आश्रय प्रदान करता है। केएल और सेलांगोर में मुख्य केंद्र के साथ राष्ट्रव्यापी उपस्थिति।","खाद्य सहायता, आपतकालीन राहत, आप्रवासी कामदारहरू र शरणार्थीहरू लगायतका दुर्व्यवहार्यका लागि अस्थायी आश्रय। KL & Sealgor मा मुख्य केन्द्रको साथ राष्ट्रव्यापी उपस्थिति।","NGO, bantuan makanan, bantuan kecemasan, tempat tinggal, percuma","एनजीओ, खाद्य सहायता, आपतकालीन राहत, आश्रय, नि: शुल्क","এনজিও, খাদ্য সহায়তা, জরুরী ত্রাণ, আশ্রয়, বিনামূল্যে","एनजीओ, खाद्य सहायता, आपातकालीन राहत, आश्रय, मुक्त",Perumahan & tempat perlindungan,आवास र आश्रय,আবাসন ও আশ্রয়,आवास और आश्रय
Tzu Chi (Penang Branch),Housing & Shelter,info@tzuchi.my,"Provides food aid, emergency relief, and temporary shelter for vulnerable communities including migrant workers and refugees. Nationwide presence with main centre in KL & Selangor.",Penang,https://www.tzuchi.my/en,+604-228 1013,"316, Jalan Macalister, 10450 Penang",Monday-Sunday 08:00-14:00,Tzu Chi (Penang Branch),"NGO, food aid, emergency relief, shelter, free",Tzu Chi (Cawangan Pulau Pinang),TZU CHI (पेनांग शाखा) (Tzu Chi (Penang Branch)),তজু চি (পেনাং শাখা) (Tzu Chi (Penang Branch)),त्ज़ु ची (पेनांग शाखा) (Tzu Chi (Penang Branch)),"অভিবাসী শ্রমিক এবং শরণার্থী সহ দুর্বল সম্প্রদায়ের জন্য খাদ্য সহায়তা, জরুরী ত্রাণ এবং অস্থায়ী আশ্রয় সরবরাহ করে। কেএল এবং সেলেঙ্গোরের প্রধান কেন্দ্রের সাথে দেশব্যাপী উপস্থিতি।","Menyediakan bantuan makanan, bantuan kecemasan, dan tempat perlindungan sementara untuk komuniti yang terdedah termasuk pekerja migran dan pelarian. Kehadiran di seluruh negara dengan pusat utama di KL & Selangor.","प्रवासी श्रमिकों और शरणार्थियों सहित कमजोर समुदायों के लिए खाद्य सहायता, आपातकालीन राहत और अस्थायी आश्रय प्रदान करता है। केएल और सेलांगोर में मुख्य केंद्र के साथ राष्ट्रव्यापी उपस्थिति।","खाद्य सहायता, आपतकालीन राहत, आप्रवासी कामदारहरू र शरणार्थीहरू लगायतका दुर्व्यवहार्यका लागि अस्थायी आश्रय। KL & Sealgor मा मुख्य केन्द्रको साथ राष्ट्रव्यापी उपस्थिति।","NGO, bantuan makanan, bantuan kecemasan, tempat tinggal, percuma","एनजीओ, खाद्य सहायता, आपतकालीन राहत, आश्रय, नि: शुल्क","এনজিও, খাদ্য সহায়তা, জরুরী ত্রাণ, আশ্রয়, বিনামূল্যে","एनजीओ, खाद्य सहायता, आपातकालीन राहत, आश्रय, मुक्त",Perumahan & tempat perlindungan,आवास र आश्रय,আবাসন ও আশ্রয়,आवास और आश्रय
